,TimeNormalized,Identity,Value,Role,Title
2910,0.7307993730407524,Shizuko,0.07044030403149382,Love,Black River
2911,0.731974921630094,Shizuko,0.10903958902308464,Love,Black River
2912,0.7339341692789969,Shizuko,0.027491702253021666,Love,Black River
2913,0.7343260188087775,Shizuko,0.02777120840983116,Love,Black River
2914,0.734717868338558,Shizuko,0.02809997740251391,Love,Black River
2915,0.7351097178683386,Shizuko,0.027383286096643866,Love,Black River
2916,0.7355015673981191,Shizuko,0.026866278546853417,Love,Black River
2917,0.7358934169278997,Shizuko,0.027744098123068994,Love,Black River
2918,0.7362852664576802,Shizuko,0.025793290655081513,Love,Black River
2919,0.7366771159874608,Shizuko,0.02371183260773102,Love,Black River
2920,0.7370689655172413,Shizuko,0.02458848367636879,Love,Black River
2921,0.7378526645768025,Shizuko,0.19621065209200683,Love,Black River
2922,0.7382445141065831,Nishida,0.12449131714333816,Protagonist,Black River
2923,0.7386363636363636,Shizuko,0.21975930902171115,Love,Black River
2924,0.7390282131661442,Nishida,0.11556658690651389,Protagonist,Black River
2925,0.7394200626959248,Nishida,0.12465315735796256,Protagonist,Black River
2926,0.7398119122257053,Shizuko,0.08901009441285712,Love,Black River
2927,0.7402037617554859,Nishida,0.13069597222967388,Protagonist,Black River
2928,0.7433385579937304,Nishida,0.023383722108931915,Protagonist,Black River
2929,0.7437304075235109,Nishida,0.021093240444546524,Protagonist,Black River
2930,0.7441222570532915,Nishida,0.021776412068785556,Protagonist,Black River
2931,0.7445141065830722,Nishida,0.02043708358111318,Protagonist,Black River
2932,0.7449059561128527,Nishida,0.020141620624816392,Protagonist,Black River
2933,0.7452978056426333,Nishida,0.02211742452871679,Protagonist,Black River
2934,0.7456896551724138,Nishida,0.023188786279384255,Protagonist,Black River
2935,0.7460815047021944,Nishida,0.020183549108028,Protagonist,Black River
2936,0.7464733542319749,Nishida,0.021781140045256997,Protagonist,Black River
2937,0.7468652037617555,Nishida,0.0207227952661706,Protagonist,Black River
2938,0.747257053291536,Shizuko,0.0760868749381558,Love,Black River
2939,0.7476489028213166,Nishida,0.06245218387217677,Protagonist,Black River
2940,0.7480407523510971,Shizuko,0.12456851104767352,Love,Black River
2941,0.7484326018808778,Nishida,0.10840745167279753,Protagonist,Black River
2942,0.7488244514106583,Nishida,0.09671739732187135,Protagonist,Black River
2943,0.7492163009404389,Shizuko,0.08911641383807378,Love,Black River
2944,0.7496081504702194,Nishida,0.2864258969793809,Protagonist,Black River
2945,0.75,Shizuko,0.16887464037157773,Love,Black River
2946,0.7503918495297806,Shizuko,0.14214250841860476,Love,Black River
2947,0.7531347962382445,Nishida,0.04339502124210881,Protagonist,Black River
2948,0.7535266457680251,Nishida,0.047295691921389826,Protagonist,Black River
2949,0.7539184952978056,Nishida,0.043965598645479,Protagonist,Black River
2950,0.7543103448275862,Nishida,0.05955256757490113,Protagonist,Black River
2951,0.7550940438871473,Shizuko,0.1703435259489119,Love,Black River
2952,0.7554858934169278,Shizuko,0.16798237358007473,Love,Black River
2953,0.7558777429467085,Shizuko,0.16179208523986777,Love,Black River
2954,0.7562695924764891,Nishida,0.08959311205405474,Protagonist,Black River
2955,0.7566614420062696,Nishida,0.08004005189477326,Protagonist,Black River
2956,0.7574451410658307,Shizuko,0.022709098622900825,Love,Black River
2957,0.7578369905956113,Shizuko,0.022378171343007125,Love,Black River
2958,0.7582288401253918,Shizuko,0.021414300246735962,Love,Black River
2959,0.7586206896551724,Shizuko,0.026780095454314257,Love,Black River
2960,0.7590125391849529,Shizuko,0.027186222745329225,Love,Black River
2961,0.7601880877742947,Nishida,0.10842146437579547,Protagonist,Black River
2962,0.7609717868338558,Nishida,0.1683511169340699,Protagonist,Black River
